text,url,n,earlier_date,is_story
FOX and friends confront billion-dollar suits over election fraud claims...,https://www.theguardian.com/media/2022/jul/04/fox-oan-newsmax-lawsuits-election-fraud-claims,5,2022-07-04,True
FOX and friends confront billion-dollar suits...,https://www.theguardian.com/media/2022/jul/04/fox-oan-newsmax-lawsuits-election-fraud-claims,1,2022-07-05,True
"FOX boss Lachlan Murdoch privately levels harsh criticism, sources say...",https://www.cnn.com/2022/08/09/media/lachlan-murdoch-donald-trump-reliable-sources/index.html,2,2022-08-10,True
FOX paid $15 million to former host who filed pay disparity claim...,https://www.msn.com/en-us/news/us/fox-news-paid-2415-million-to-former-host-who-filed-pay-disparity-claim/ar-AAYDq9y,5,2022-06-20,True
FOX to Counterprogram...,https://www.nydailynews.com/news/national/ny-fox-news-jan-6-insurrection-hearing-no-20220607-yudjnalieffw3ljmwmvljsgghm-story.html,1,2022-06-09,True
FOXNEWS,http://www.foxnews.com,258,2022-06-03,False
FOXNEWS Ignores The Don...,https://dnyuz.com/2022/07/29/fox-news-once-home-to-trump-now-often-ignores-him/,6,2022-07-30,True
FRANCE 24,http://www.france24.com/en/,258,2022-06-03,False
FRANCIS:  Popes who resign are humble...,https://www.nasdaq.com/articles/popes-who-resign-are-humble-francis-says-in-central-italy-visit,6,2022-08-28,True
FREE BEACON,http://freebeacon.com/,258,2022-06-03,False
FREE SPEECH?  SPACEX fires workers behind letter criticizing Musk...,https://jezebel.com/elon-musk-is-a-huge-free-speech-advocate-but-if-you-cr-1849077015,14,2022-06-18,True
FRIDAY:  Abortion providers brace for Roe...,https://apnews.com/article/abortion-us-supreme-court-politics-health-new-jersey-bcecfda68434ebd9094ff489459f1183,3,2022-06-23,True
FRONT PAGES UK,http://www.thepaperboy.com/uk/front-pages.cfm,258,2022-06-03,False
FTC fines far-right apparel company for replacing Made in China with Made in USA tags...,https://www.yahoo.com/news/ftc-fines-lions-not-sheep-200513626.html,3,2022-08-08,True
FUENTES:  'Jews stood in the way'...,https://www.jpost.com/diaspora/antisemitism/article-710771,3,2022-07-01,True
Fabulously wealthy fueling booming luxury ranch market out West...,https://www.msn.com/en-us/travel/news/the-fabulously-wealthy-are-fueling-a-booming-luxury-ranch-market-out-west/ar-AA10IoNU,1,2022-08-16,True
Fabulously wealthy fueling booming luxury ranch market...,https://www.msn.com/en-us/travel/news/the-fabulously-wealthy-are-fueling-a-booming-luxury-ranch-market-out-west/ar-AA10IoNU,1,2022-08-17,True
Faces 2 Years in Prison...,https://apnews.com/article/capitol-siege-steve-bannon-donald-trump-congress-government-and-politics-26c539434d968d642563b38c34a62916,4,2022-07-23,True
"Facing Gas Cuts, Europe Dims Lights, Cools Pools, Shortens Showers...",https://www.wsj.com/articles/facing-russian-gas-cuts-europe-dims-lights-cools-pools-and-shortens-showers-11660132190,3,2022-08-10,True
"Facing trial, Bannon vows to go 'medieval,' but judge says meh...",https://www.msn.com/en-us/news/politics/facing-trial-bannon-vows-to-go-e2-80-98medieval-e2-80-99-but-judge-says-meh/ar-AAZDpuP,5,2022-07-16,True
Fading 'GRAY MAN' Viewership Points to NETFLIX toubles...,https://variety.com/vip/fading-gray-man-viewership-points-to-netflixs-uphill-movie-battle-1235343111/,3,2022-08-17,True
Failed to 'safeguard product information'...,https://www.dailymail.co.uk/news/article-11041157/Google-fires-software-engineer-claimed-AI-chatbot-sentient.html,5,2022-07-24,True
Fake Electors May Provide Path for DOJ to Charge...,https://www.bnnbloomberg.ca/fake-electors-may-provide-easiest-path-for-doj-to-charge-trump-1.1795832,4,2022-07-23,True
Fake cricket league dupes bettors with staged matches...,https://www.actionnetwork.com/news/fake-indian-premier-league-dupes-russian-bettors-staged-cricket-matches,1,2022-07-12,True
Fake political signs fill AZ streets...,https://www.fox5ny.com/news/joke-arizona-political-signs-spotted-in-phoenix-area,1,2022-08-26,True
Fake political signs fill Phoenix streets...,https://www.fox5ny.com/news/joke-arizona-political-signs-spotted-in-phoenix-area,2,2022-08-26,True
Fake political signs filling AZ streets...,https://www.fox5ny.com/news/joke-arizona-political-signs-spotted-in-phoenix-area,1,2022-08-26,True
False claims of fraud prompt mass resignations of poll workers...,https://abcnews.go.com/US/us-false-accusations-election-fraud-prompt-election-workers/story?id=88739763,2,2022-08-24,True
Families using TELEGRAM to check if soldiers are dead or alive...,https://www.mirror.co.uk/news/world-news/russian-soldiers-families-use-kremlin-27170102,1,2022-06-07,True
Family Dinners Thing Of Past; Avg Person Spends 3 A Week With Loved Ones...,https://www.studyfinds.org/family-dinners-etiquette/,3,2022-08-12,True
Family claims 'no warning signs'...,https://www.the-sun.com/news/5706125/robert-crimo-iii-shooting-highland-park-videos/,3,2022-07-05,True
Fan banned from flying Ukraine flag at Cincinnati Open after Russian player complained...,https://www.dailymail.co.uk/sport/sportsnews/article-11116265/Tennis-fan-BANNED-flying-Ukrainian-flag-Cincinnati-Open.html,1,2022-08-16,True
Fans kicked out of Blue Jays game for having sex in stands...,https://www.blogto.com/sports_play/2022/08/toronto-blue-jays-game-fans-kicked-out-sex-in-stands/,1,2022-08-31,True
Fans push 'MASKED SINGER' conspiracy theory...,https://ftw.usatoday.com/lists/buccaneers-tom-brady-masked-singer-theory-nfl-fans,2,2022-08-19,True
Fans push 'MASKED SINGER' conspiracy...,https://ftw.usatoday.com/lists/buccaneers-tom-brady-masked-singer-theory-nfl-fans,3,2022-08-20,True
Far-Right Group Yells at Empty Building in Drag Show Blitz...,https://news.yahoo.com/proud-boys-yelled-empty-building-031630731.html,2,2022-07-02,True
Far-right Italian leader blasted for posting rape video...,https://news.yahoo.com/far-italian-leader-blasted-posting-125510090.html,2,2022-08-22,True
Far-right activist threatens Ben Shapiro: 'You've spun your last dreidel'...,https://www.jpost.com/diaspora/antisemitism/article-712475,1,2022-07-19,True
Farmers latest target of Russian missiles...,https://www.msn.com/en-us/news/world/ukraines-farmers-become-the-latest-target-of-russian-missiles/ar-AAZIYRl,1,2022-07-20,True
Fashion's Boring Problem...,https://www.msn.com/en-us/money/careersandeducation/fashion-has-a-boring-problem/ar-AAYN1Yh,2,2022-06-24,True
Father mocks tech titan's 'illegitimate' kids...,https://www.the-sun.com/news/5711836/elon-musk-twins-father-illegitimate-children/,2,2022-07-07,True
Father says he's asked to donate sperm to impregnate high class women...,https://www.the-sun.com/news/5805890/elon-musk-dad-errol-child-donate-sperm/,1,2022-07-19,True
Fauci Annual Pension Payout Exceeds POTUS Salary...,https://openthebooks.substack.com/p/dr-faucis-retirement-pension-414667,4,2022-07-22,True
Fauci experiences rebound in symptoms after taking PFIZER drug...,https://www.dailymail.co.uk/news/article-10963301/Anthony-Fauci-says-hes-experienced-rebound-Covid-symptoms-Paxlovid-course.html,4,2022-06-29,True
Fauci on monkeypox: Can be controlled...,https://wtop.com/dc/2022/08/fauci-on-monkeypox-you-never-blow-off-any-emerging-infection/,1,2022-08-06,True
Fauci set to retire by end of Biden term...,https://www.politico.com/news/2022/07/18/anthony-fauci-interview-covid-00046189,1,2022-07-19,True
Fear of 'special military operation'...,https://nationalpost.com/news/world/xi-jinping-clears-non-war-use-of-army-raising-fear-of-special-military-operation-in-taiwan,1,2022-06-16,True
Fear of recession could become self-fulfilling prophecy...,https://www.axios.com/2022/06/30/recession-inflation-economy-jobs-fed-wall-street,2,2022-06-30,True
"Fear top diplomat in Mexico gone too far, setting back US interests...",https://dnyuz.com/2022/07/05/has-bidens-top-diplomat-in-mexico-gone-too-far-officials-ask/,2,2022-07-06,True
Feared for their lives...,https://news.yahoo.com/secret-witness-reveals-agents-feared-014010499.html,2,2022-07-22,True
Fears Grow Over Iran Nuke Program as Tehran Digs New Tunnel Network...,https://dnyuz.com/2022/06/16/fears-grow-over-irans-nuclear-program-as-tehran-digs-a-new-tunnel-network/,2,2022-06-17,True
Fears Grow Over Iran Nuke Program; Tehran Digs Tunnel Network...,https://dnyuz.com/2022/06/16/fears-grow-over-irans-nuclear-program-as-tehran-digs-a-new-tunnel-network/,2,2022-06-17,True
Fears Japan on front line...,https://www.npr.org/2022/08/05/1115384641/japan-taiwan-china-yonaguni-island,3,2022-08-06,True
Fears for Tom Hanks as star appears unable to control shaking hand...,https://www.dailymail.co.uk/news/article-10917157/Fears-Tom-Hanks-health-Hollywood-megastar-appears-unable-control-shaking-right-hand.html,1,2022-06-15,True
Fears grow of catastrophe after attacks on power plant...,https://www.nbcnews.com/news/world/russia-ukraine-war-nuclear-disaster-fears-zaporizhzhia-plant-rcna41959,3,2022-08-08,True
Fears in Japan of being on front line...,https://www.npr.org/2022/08/05/1115384641/japan-taiwan-china-yonaguni-island,2,2022-08-05,True
Fears of radiation leak rise... ,https://www.marketwatch.com/story/fears-of-radiation-leak-rise-as-russia-ukraine-trade-claims-of-attacks-at-nuclear-plant-01661717439,1,2022-08-29,True
Fed Chair pummeled from all sides...,https://www.politico.com/news/2022/08/05/fed-powell-rate-hikes-00049561,1,2022-08-06,True
Fed Dilemma: What if Inflation Here to Stay?,https://www.wsj.com/articles/inflation-jackson-hole-fed-powell-11661288446,1,2022-08-25,True
Fed Powell facing rising criticism for inflation missteps...,https://apnews.com/article/inflation-economy-jerome-powell-government-and-politics-86d884ee9ca6cf8bbc3c00da3445fbbc,2,2022-06-22,True
Fed set for ANOTHER big rate hike with economy on knife's edge...,https://finance.yahoo.com/news/fed-inflict-more-pain-economy-130000297.html,6,2022-07-25,True
Fed set for ANOTHER big rate hike...,https://finance.yahoo.com/news/fed-inflict-more-pain-economy-130000297.html,2,2022-07-26,True
Fed up and fired up: TX Republicans meet in climate of mistrust...,https://www.texastribune.org/2022/06/18/texas-state-republican-convention/,3,2022-06-20,True
Fed up and fired up: Texas Republicans meet in a climate of mistrust...,https://www.texastribune.org/2022/06/18/texas-state-republican-convention/,2,2022-06-20,True
"Fed, earnings, economic data ahead this week...",https://www.cnbc.com/2022/07/22/markets-face-what-could-be-the-most-important-week-of-summer-with-fed-earnings-and-economic-data.html,2,2022-07-23,True
Federal Tax Collections Set ANOTHER Record...,https://www.cnsnews.com/article/washington/terence-p-jeffrey/3374629000000-federal-tax-collections-set-record-through-may,1,2022-06-11,True
Federal Tax Collections Set ANOTHER Record...,https://www.cnsnews.com/article/washington/terence-p-jeffrey/3835390000000-federal-tax-collections-set-record-through-june,1,2022-07-19,True
Federal agencies lay groundwork to ignore Court...,https://thehill.com/opinion/judiciary/3558186-federal-agencies-lay-the-groundwork-to-ignore-the-supreme-court/,1,2022-07-19,True
Federal agencies lay groundwork to ignore Supreme Court...,https://thehill.com/opinion/judiciary/3558186-federal-agencies-lay-the-groundwork-to-ignore-the-supreme-court/,1,2022-07-18,True
Federal guidance on pills causes confusion among pharmacists...,https://www.arcamax.com/politics/politicalnews/s-2703065?fs,4,2022-07-21,True
Feds Collect RECORD Taxes...,https://www.cnsnews.com/article/washington/terence-p-jeffrey/4104725000000-federal-tax-collections-set-record-through-july,3,2022-08-10,True
Feds Hunter Biden investigation reaches critical juncture... Developing...,https://www.cnn.com/2022/07/20/politics/hunter-biden-investigation-critical-juncture/index.html,2,2022-07-21,True
Feds Interview The Don's White House Lawyers...,https://dnyuz.com/2022/08/16/f-b-i-interviewed-top-white-house-lawyers-about-missing-trump-documents/,1,2022-08-17,True
Feds Interviewed The Don's Top White House Lawyers...,https://dnyuz.com/2022/08/16/f-b-i-interviewed-top-white-house-lawyers-about-missing-trump-documents/,2,2022-08-16,True
Feds advances probe of TESLAS running into emergency vehicles...,https://apnews.com/article/technology-health-business-8fc617fc492847d15bf253558ed1f925,1,2022-06-09,True
Feds announce more water cuts as Colorado River hits dire lows...,https://apnews.com/article/mexico-arizona-lakes-colorado-river-cc37e49759fabe8236a081286dfc61ee,5,2022-08-17,True
Feds drop free Covid tests...,https://thehill.com/policy/healthcare/3618005-federal-government-to-halt-free-covid-19-at-home-tests-by-early-september/,1,2022-08-28,True
"Feds investigating Russian-speaking immigrant who infiltrated Mar-a-Lago...
Posed as member of European banking dynasty...",https://newsinteractive.post-gazette.com/anna-de-rothschild-trump-mar-a-lago-security-fbi-investigation/,3,2022-08-26,True
Feds open investigation into discrimination against gay students in CT...,https://www.arcamax.com/currentnews/newsheadlines/s-2715621?fs,3,2022-08-22,True
Feds probe crash involving self-driving GM 'Cruise'...,https://www.cnbc.com/2022/07/07/us-to-probe-self-driving-car-crash-involving-gm-backed-cruise.html,1,2022-07-08,True
Feds raid home of Don's top DOJ official...,https://www.msn.com/en-us/news/politics/justice-department-raids-home-of-former-doj-official-at-center-of-jan-6-panel-s-investigation/ar-AAYNmvR,2,2022-06-24,True
Feds raid top DOJ official...,https://www.msn.com/en-us/news/politics/justice-department-raids-home-of-former-doj-official-at-center-of-jan-6-panel-s-investigation/ar-AAYNmvR,1,2022-06-24,True
Feds to penalize airlines if disruptions continue?,https://www.axios.com/2022/06/18/buttigieg-enforcement-airlines-flight-disruptions,7,2022-06-20,True
Feds to search Eastman's cell phone...,https://www.cnn.com/2022/07/27/politics/john-eastman-search-warrant/index.html,1,2022-07-27,True
Feds warn Iran may try to kill American officials...,https://news.yahoo.com/exclusive-us-government-warns-iran-may-try-to-kill-american-officials-in-revenge-for-killing-top-general-162641423.html,2,2022-07-14,True
Feds warn Tehran may try to kill American officials...,https://news.yahoo.com/exclusive-us-government-warns-iran-may-try-to-kill-american-officials-in-revenge-for-killing-top-general-162641423.html,1,2022-07-14,True
"Feeling unwelcome in blue states, gun companies move to red ones...",https://www.msn.com/en-us/news/us/feeling-unwelcome-in-blue-states-gun-companies-move-to-red-ones/ar-AA11dxoT,3,2022-08-29,True
Felled by flaws...,https://apnews.com/article/boris-johnson-what-to-know-faad810ff08e041130e1759cf5a540e7,3,2022-07-07,True
Female Saudi activist gets record 34 years in prison for critical tweets!,https://www.msn.com/en-us/news/world/female-saudi-activist-gets-record-34-years-in-prison-for-critical-tweets/ar-AA10KLcv,3,2022-08-17,True
Fentanyl From Govt? Experiment Aims to Stop Overdoses...,https://dnyuz.com/2022/07/26/fentanyl-from-the-government-a-vancouver-experiment-aims-to-stop-overdoses/,3,2022-07-26,True
Feral chickens have taken over Oahu...,https://www.sfgate.com/hawaii/article/hawaii-parks-say-stop-feeding-feral-chickens-17300315.php,1,2022-07-19,True
Festival turns 90!,https://apnews.com/article/2022-venice-film-festival-what-to-expect-c1f479ebe9118e1ac34a8549fe340e36,4,2022-08-29,True
Fetterman Reboots Campaign After Stroke-Induced Hiatus...,https://www.msn.com/en-us/news/politics/fetterman-reboots-us-senate-campaign-after-stroke-induced-hiatus/ar-AA10C0vR,5,2022-08-13,True
Fetterman and Shapiro lead in PA...,https://www.fltimes.com/news/nation/fetterman-and-shapiro-lead-oz-and-mastriano-in-key-pa-races-despite-headwinds-against-democrats/article_f9fae747-4534-55de-897d-a58f63fdbaa8.html,2,2022-07-31,True
Fetterman and Shapiro lead...,https://www.fltimes.com/news/nation/fetterman-and-shapiro-lead-oz-and-mastriano-in-key-pa-races-despite-headwinds-against-democrats/article_f9fae747-4534-55de-897d-a58f63fdbaa8.html,3,2022-07-30,True
Fetterman presses Biden to decriminalize pot...,https://www.msn.com/en-us/news/politics/john-fetterman-s-campaign-says-he-ll-press-biden-to-finally-decriminalize-marijuana-when-they-march-together-in-an-upcoming-pittsburgh-parade/ar-AA11fmwD?cvid=1071a08570f245f882c968f8bd0a308c,2,2022-08-29,True
Few Parents Having Very Young Children Vaxxed...,https://www.msn.com/en-us/news/us/few-parents-intend-to-have-very-young-children-vaccinated-against-covid/ar-AAZYNZW,1,2022-07-26,True
"Fiddling, Fumbling, Fuming: The Don's Jan. 6 Timeline Revealed...",https://news.yahoo.com/jan-6-committee-details-trumps-004428556.html,2,2022-07-22,True
"Fiddling, Fumbling, Fuming: The Don's Riot Timeline Revealed...",https://news.yahoo.com/jan-6-committee-details-trumps-004428556.html,1,2022-07-23,True
Fielding 50-Year-Old Tanks...,https://www.msn.com/en-us/news/world/russia-is-fielding-50-year-old-tanks-in-ukraine-which-is-not-a-great-strategy/ar-AAYjvva,1,2022-06-10,True
Fifth vote in three years!,https://apnews.com/article/israel-coalition-dissolves-5e4d652663e41aaa964ac01911c336a4,5,2022-06-20,True
Fight Between Musk and TWITTER Will Come Down to Three Words...,https://fortune.com/2022/07/09/the-fight-between-musk-and-twitter-will-come-down-to-3-words-and-they-rarely-work%ef%bf%bc/,4,2022-07-10,True
Fight Between Musk and TWITTER Will Come Down to Three Words...,https://www.bnnbloomberg.ca/the-fight-between-musk-and-twitter-will-come-down-to-three-words-1.1789615,1,2022-07-09,True
Fight for heart of Republicans in Florida...,https://www.politico.com/news/2022/07/23/trump-and-desantis-fight-for-the-heart-of-the-gop-in-florida-00047576,2,2022-07-24,True
Fight looms over pills...,https://thehill.com/policy/healthcare/3536457-next-big-fight-looms-over-abortion-pills/,3,2022-06-26,True
Fight on basketball court...,https://www.ktvu.com/news/breaking-multiple-police-officers-surround-24-hour-fitness-in-brentwood,3,2022-08-11,True
Fighting Around Europe's Largest Power Plant 'Out of Control'...,https://www.vice.com/en/article/7k88mg/fighting-around-europes-largest-power-plant-is-out-of-control-uns-nuke-chief-warns,2,2022-08-03,True
Files complaint over drag show performed in front of kids...,https://www.miamiherald.com/entertainment/music-news-reviews/article263872577.html,2,2022-07-28,True
Files copied from voting systems shared with MAGA...,https://www.msn.com/en-us/news/us/files-copied-from-voting-systems-were-shared-with-trump-supporters-election-deniers/ar-AA10Xn7Z,2,2022-08-22,True
Film offers inside look at Stone's 'Stop the Steal' efforts...,https://www.theguardian.com/us-news/2022/jul/07/roger-stone-ali-alexander-film-jan-6-stop-the-steal,2,2022-07-09,True
Filmed Self on Route...,https://www.mediaite.com/news/highland-park-suspect-filmed-himself-on-parade-route-posted-violent-content-online-ahead-of-shooting/,2,2022-07-05,True
Filmmaker Alex Holder says Trump lost his mind after Jan 6...,https://nymag.com/intelligencer/2022/06/alex-holder-trump-was-utterly-irrational-after-january-6.html ,3,2022-06-30,True
Filmmaker Alex Holder says Trump lost his mind after January 6...,https://nymag.com/intelligencer/2022/06/alex-holder-trump-was-utterly-irrational-after-january-6.html ,1,2022-06-30,True
Filmmaker Alex Holder says Trump lost mind after Jan 6...,https://nymag.com/intelligencer/2022/06/alex-holder-trump-was-utterly-irrational-after-january-6.html ,2,2022-06-30,True
Filmmaker Claims:  Eric Thought Violence After Election 'Fair Game'...,https://www.mediaite.com/news/eric-trump-thought-violence-after-election-fair-game-reveals-filmmaker-alex-holder-right-thing-to-do/,1,2022-06-28,True
Filmmaker Claims:  Eric Trump Thought Violence After Election 'Fair Game'...,https://www.mediaite.com/news/eric-trump-thought-violence-after-election-fair-game-reveals-filmmaker-alex-holder-right-thing-to-do/,3,2022-06-28,True
Filmmaker Subpeonaed for His Unseen Tapes of President on Jan. 6...,https://www.thedailybeast.com/alex-holder-documentary-filmmaker-subpoenaed-for-unseen-january-6-trump-tapes?ref=home,2,2022-06-21,True
Filmmaker Subpeonaed for Unseen Tapes...,https://www.thedailybeast.com/alex-holder-documentary-filmmaker-subpoenaed-for-unseen-january-6-trump-tapes,2,2022-06-22,True
"Final Days of White House: Chaos, Scattered Papers...",https://dnyuz.com/2022/08/20/the-final-days-of-the-trump-white-house-chaos-and-scattered-papers/,3,2022-08-21,True
Final stretch of primaries showcase divided Republican Party...,https://www.msn.com/en-us/news/politics/final-stretch-of-primaries-will-showcase-a-divided-gop/ar-AA10csxz,1,2022-08-03,True
Final stretch of primaries will showcase divided Republican Party...,https://www.msn.com/en-us/news/politics/final-stretch-of-primaries-will-showcase-a-divided-gop/ar-AA10csxz,3,2022-08-02,True
"Financial Stress Spans All Income Brackets, Survey Shows...",https://www.fa-mag.com/news/financial-stress-spans-all-u-s--income-brackets--survey-shows-68501.html,3,2022-06-28,True
"Fine Wine Key to Long and Happy Life, Says Veteran Marking 102nd Birthday...",https://www.msn.com/en-gb/news/uknews/fine-wine-is-key-to-long-and-happy-life-says-veteran-marking-102nd-birthday/ar-AAZR72w,3,2022-07-22,True
Finland 'party PM' sorry for pic of topless women kissing at palace...,https://www.thesun.co.uk/news/19595045/sanna-marin-topless-kiss-finland-prime-minister/,1,2022-08-23,True
"Finland PM in tears as she admits 'I'm also human'...
Leaked partying videos...",https://www.the-sun.com/news/6068434/finland-pm-sanna-marin-party-tears/,3,2022-08-24,True
Finland asks: Can prime minister party like rock star?,https://apnews.com/article/nato-covid-health-finland-helsinki-bb9704d5663b68766fcd2376335a29c4,5,2022-08-20,True
"Finland, Sweden give NATO edge...",https://apnews.com/article/russia-ukraine-nato-sweden-finland-climate-and-environment-726570f7c9dd3f564255f395fee7e577,3,2022-08-21,True
"Finland, Sweden offer NATO edge as rivalry warms up north...",https://apnews.com/article/russia-ukraine-nato-sweden-finland-climate-and-environment-726570f7c9dd3f564255f395fee7e577,2,2022-08-20,True
Finns urged to take fewer saunas...,https://www.france24.com/en/live-news/20220826-finns-urged-to-take-fewer-saunas-amid-energy-crunch,3,2022-08-26,True
Fire at  WALMART sends customers running; Smoke seen for miles...,https://www.the-sun.com/news/6073030/peachtree-city-walmart-fire-georgia-sends-customers-running/,1,2022-08-25,True
Fire during mass at Cairo church kills more than 40...,https://www.france24.com/en/africa/20220814-fire-during-mass-at-cairo-coptic-church-kills-more-than-40-say-church-officials,2,2022-08-14,True
"Fire near California-Oregon border explodes overnight to 18,000 acres...",https://news.yahoo.com/fire-near-california-oregon-border-164401075.html,6,2022-07-30,True
Fired FOXNEWS editor to testify...,https://www.cnbc.com/2022/06/10/fired-fox-news-editor-chris-stirewalt-to-testify-at-jan-6-riot-committee-hearing.html,1,2022-06-10,True
"Firefighters race to defend ancient sequoias from 2,700-acre fire in Yosemite...",https://www.msn.com/en-us/weather/topstories/firefighters-race-to-defend-ancient-sequoias-from-2300-acre-washburn-fire-in-yosemite/ar-AAZsk2v,1,2022-07-12,True
Fireman accused of being serial fire starter...,https://www.france24.com/en/live-news/20220729-french-fireman-accused-of-being-serial-fire-starter,3,2022-07-29,True
"Fireworks out, drone shows in this year...",https://www.axios.com/2022/07/01/fireworks-drones-july-4th-independence-day,3,2022-07-01,True
Firms helped elect Dems. Now they work for Big Tech!,https://www.protocol.com/policy/tech-lobbying-democratic-firms,2,2022-06-24,True
Firms helped elect Dems. Now they work for Big Tech...,https://www.protocol.com/policy/tech-lobbying-democratic-firms,1,2022-06-24,True
"First Asking $125 Million, Epstein's Caribbean Islands Now Available for $55 Million Each...",https://www.wsj.com/articles/first-asking-125-million-jeffrey-epsteins-caribbeanislands-now-available-for-55-million-each-11653589840,1,2022-06-03,True
First Flight For Communist Stealth Bomber Could Be Imminent...,https://www.thedrive.com/the-war-zone/first-flight-for-chinas-h-20-stealth-bomber-could-be-imminent-report,4,2022-07-09,True
First Gen Z member of Congress?,https://www.nbcnews.com/politics/congress/florida-democratic-primary-winner-become-first-gen-z-member-congress-rcna44603,3,2022-08-24,True
First Lady jeered outside Connecticut ice cream shop...,https://nypost.com/2022/07/23/jill-biden-heckled-outside-connecticut-ice-cream-shop/,1,2022-07-25,True
First Lady slammed for comparing Latino people to tacos...,https://www.businessinsider.com/jill-biden-slammed-compared-latinos-tacos-hispanic-journalists-say-stereotype-2022-7,1,2022-07-12,True
First Lady slammed for comparing Latinos to tacos...,https://www.businessinsider.com/jill-biden-slammed-compared-latinos-tacos-hispanic-journalists-say-stereotype-2022-7,2,2022-07-12,True
First cases in kids...,https://www.axios.com/2022/07/22/monkeypox-children-cdc,4,2022-07-23,True
First image from NASA Webb Telescope reveals thousands of galaxies in stunning detail...,https://news.yahoo.com/first-image-nasas-james-webb-223534285.html,6,2022-07-12,True
First infections in kids...,https://www.axios.com/2022/07/22/monkeypox-children-cdc,1,2022-07-23,True
First kisses may have helped spread cold sore virus...,https://www.france24.com/en/live-news/20220728-first-kisses-may-have-helped-spread-cold-sore-virus,2,2022-07-28,True
First lady press sec departing...,https://www.cnn.com/2022/07/26/politics/michael-larosa-leaving-the-white-house/index.html,2,2022-07-26,True
First monkeypox case hits military...,https://www.cnn.com/2022/06/10/politics/us-military-monkeypox/index.html,1,2022-06-10,True
First person dies of monkeypox in Europe...,https://www.mirror.co.uk/news/world-news/breaking-spain-confirms-first-monkeypox-27614361,2,2022-07-30,True
First time in 20 years...,https://www.cnn.com/2022/07/12/investing/euro-dollar-parity/index.html,2,2022-07-12,True
First top Kremlin official to quit over war is hospital paralyzed...,https://www.dailymail.co.uk/news/article-11077423/Pictured-Kremlin-official-quit-Ukraine-war-lies-hospital-partially-paralysed.html,1,2022-08-03,True
First-time voters weigh what they've never known -- Turkey without Erdogan!,https://news.yahoo.com/first-time-voters-weigh-theyve-060505884.html,2,2022-07-05,True
First-time voters weigh what they've never known -- Turkey without Erdogan...,https://news.yahoo.com/first-time-voters-weigh-theyve-060505884.html,1,2022-07-05,True
Five shark attacks in two weeks off Long Island...,https://www.washingtonpost.com/science/2022/07/14/long-island-shark-attacks/,2,2022-07-15,True
Five ways Fed rate hikes will impact Americans...,https://thehill.com/policy/3527015-five-ways-the-feds-interest-rate-hikes-will-impact-americans/,4,2022-06-17,True
Flames reach beach...,https://apnews.com/article/wildfires-france-fires-evacuations-c6b6e5f2abe0611da6dd88790a23e94b,2,2022-07-18,True
Flames reach the beach...,https://apnews.com/article/wildfires-france-fires-evacuations-c6b6e5f2abe0611da6dd88790a23e94b,1,2022-07-18,True
Flash floods close roads into Death Valley...,https://apnews.com/article/floods-storms-nevada-weather-transportation-322c3b092f8ca06dbdbf8dba188e886f,1,2022-08-01,True
Flashing fireballs seen streaking across US skies...,https://www.the-sun.com/news/5771714/fireballs-seen-us-skies-russian-rocket/,3,2022-07-14,True
Flawed candidates stumble...,https://www.axios.com/2022/07/15/senate-republican-candidates-herschel-oz-masters,4,2022-07-16,True
"Flight Attendants Can Bring Full Selves to Work -- Tattoos, Sneakers, Nose Studs and All...",https://www.wsj.com/articles/some-flight-attendants-can-bring-their-full-selves-to-worktattoos-sneakers-nose-studs-and-all-11654768800,1,2022-06-09,True
Flight cancellations stressing weary travelers as July 4 approaches...,https://www.msn.com/en-us/travel/news/flight-cancellations-stressing-weary-travelers-as-july-4-approaches/ar-AAYWRqi,3,2022-06-28,True
Flight disruptions finally ease as holiday weekend winds down...,https://www.cnbc.com/2022/07/04/air-travel-delays-ease-on-fourth-of-july-weekend.html,3,2022-07-04,True
Flight of NYC's Wealthy Was a Once-in-a-Century Shock...,https://dnyuz.com/2022/06/28/the-flight-of-new-york-citys-wealthy-was-a-once-in-a-century-shock-2/,3,2022-06-28,True
Flight tracking exposure irks billionaires and baddies...,https://news.yahoo.com/flight-tracking-exposure-irks-billionaires-013244069.html,3,2022-08-08,True
Floating city in Maldives begins to take shape...,https://edition.cnn.com/style/article/maldives-floating-city-spc-intl/index.html,5,2022-06-20,True
Floods leave Yellowstone landscape 'dramatically changed'...,https://apnews.com/article/floods-science-travel-business-709a543605963010b620de1ba981d08f,1,2022-06-15,True
Florida beach named shark capital of the world...,https://www.the-sun.com/news/5713980/shark-capital-third-attack-of-year/,3,2022-07-06,True
Florida beach named shark capital of world...,https://www.the-sun.com/news/5713980/shark-capital-third-attack-of-year/,2,2022-07-07,True
Florida former Dem 'rising star' indicted...,https://www.npr.org/2022/06/22/1106744416/floridas-former-democratic-rising-star-andrew-gillum-is-indicted,1,2022-06-23,True
Florida judge menaced...,https://www.axios.com/2022/08/13/florida-judge-fbi-search-trump-mar-a-lago,6,2022-08-13,True
"Florida school shooter was damaged even BEFORE birth, defense attorney says...",https://www.sun-sentinel.com/local/broward/parkland/florida-school-shooting/fl-ne-parkland-cruz-trial-defense-case-begins-20220822-aaq53gpix5c75hwjxkvpcafhc4-story.html,1,2022-08-23,True
